"","model_name","make_year","car_price","age"
"499","Ford Fusion",2011,9998,9
"500","Ford Fusion",2018,13500,2
"501","Ford Fusion",2019,13985,1
"502","Ford Fusion",2014,10500,6
"503","Ford Fusion",2019,14524,1
"504","Ford Fusion",2014,7990,6
"505","Ford Fusion",2015,12000,5
"506","Ford Fusion",2012,7999,8
"507","Ford Fusion",2019,16480,1
"508","Ford Fusion",2019,13499,1
"509","Ford Fusion",2016,10948,4
"510","Ford Fusion",2016,9999,4
"511","Ford Fusion",2006,3800,14
"512","Ford Fusion",2014,8950,6
"513","Ford Fusion",2017,16950,3
"514","Ford Fusion",2018,12496,2
"515","Ford Fusion",2015,10957,5
"516","Ford Fusion",2017,11956,3
"517","Ford Fusion",2015,13000,5
"518","Ford Fusion",2019,15277,1
"519","Ford Fusion",2019,16535,1
"520","Ford Fusion",2018,16691,2
"521","Ford Fusion",2019,11388,1
"522","Ford Fusion",2018,13900,2
"523","Ford Fusion",2018,13097,2
"524","Ford Fusion",2015,10000,5
"525","Ford Fusion",2015,9960,5
"526","Ford Fusion",2018,13099,2
"527","Ford Fusion",2019,17988,1
"528","Ford Fusion",2013,8273,7
"529","Ford Fusion",2015,10591,5
"530","Ford Fusion",2012,7722,8
"531","Ford Fusion",2019,14900,1
"532","Ford Fusion",2014,9388,6
"533","Ford Fusion",2012,7995,8
"534","Ford Fusion",2019,14643,1
"535","Ford Fusion",2018,12795,2
"536","Ford Fusion",2015,9921,5
"537","Ford Fusion",2019,16385,1
"538","Ford Fusion",2020,17989,0
"539","Ford Fusion",2017,13890,3
"540","Ford Fusion",2013,8591,7
"541","Ford Fusion",2016,9500,4
"542","Ford Fusion",2019,15100,1
"543","Ford Fusion",2014,9243,6
"544","Ford Fusion",2012,8090,8
"545","Ford Fusion",2017,12915,3
"546","Ford Fusion",2011,6990,9
"547","Ford Fusion",2017,13990,3
"548","Ford Fusion",2013,8500,7
"549","Ford Fusion",2015,13950,5
"550","Ford Fusion",2015,9788,5
"551","Ford Fusion",2019,14995,1
"552","Ford Fusion",2019,16500,1
"553","Ford Fusion",2020,17377,0
"554","Ford Fusion",2019,14000,1
"555","Ford Fusion",2016,10995,4
"556","Ford Fusion",2017,11490,3
"557","Ford Fusion",2011,6685,9
"558","Ford Fusion",2017,12985,3
"559","Ford Fusion",2014,7200,6
"560","Ford Fusion",2017,16500,3
"561","Ford Fusion",2014,7995,6
"562","Ford Fusion",2018,11995,2
"563","Ford Fusion",2012,5980,8
"564","Ford Fusion",2019,16900,1
"565","Ford Fusion",2018,13750,2
"566","Ford Fusion",2020,14636,0
"567","Ford Fusion",2019,14997,1
"568","Ford Fusion",2017,16995,3
"569","Ford Fusion",2010,6998,10
"570","Ford Fusion",2017,12900,3
"571","Ford Fusion",2012,8950,8
"572","Ford Fusion",2019,15991,1
"573","Ford Fusion",2017,13495,3
"574","Ford Fusion",2017,14296,3
"575","Ford Fusion",2020,16896,0
"576","Ford Fusion",2014,7624,6
"577","Ford Fusion",2019,12904,1
"578","Ford Fusion",2019,12995,1
"579","Ford Fusion",2013,7895,7
"580","Ford Fusion",2017,11500,3
"581","Ford Fusion",2014,7500,6
"582","Ford Fusion",2015,7399,5
"583","Ford Fusion",2013,8300,7
"584","Ford Fusion",2014,7700,6
"585","Ford Fusion",2019,17581,1
"586","Ford Fusion",2011,5880,9
"587","Ford Fusion",2019,13495,1
"588","Ford Fusion",2014,8995,6
"589","Ford Fusion",2019,17500,1
"590","Ford Fusion",2017,13843,3
"591","Ford Fusion",2015,10981,5
"592","Ford Fusion",2017,13699,3
"593","Ford Fusion",2019,13995,1
"594","Ford Fusion",2017,15374,3
"595","Ford Fusion",2014,8989,6
"596","Ford Fusion",2014,7795,6
"597","Ford Fusion",2019,12999,1
"598","Ford Fusion",2014,7998,6
"599","Ford Fusion",2018,12500,2
"600","Ford Fusion",2017,13000,3
"601","Ford Fusion",2013,7995,7
"602","Ford Fusion",2015,9500,5
"603","Ford Fusion",2019,17485,1
"604","Ford Fusion",2017,11487,3
"605","Ford Fusion",2019,16350,1
"606","Ford Fusion",2018,14000,2
"607","Ford Fusion",2015,10450,5
"608","Ford Fusion",2015,10900,5
"609","Ford Fusion",2014,12649,6
"610","Ford Fusion",2018,11240,2
"611","Ford Fusion",2019,14900,1
"612","Ford Fusion",2015,9977,5
"613","Ford Fusion",2019,15632,1
"614","Ford Fusion",2019,13990,1
"615","Ford Fusion",2019,18995,1
"616","Ford Fusion",2019,16388,1
"617","Ford Fusion",2019,17995,1
"618","Ford Fusion",2018,13795,2
"619","Ford Fusion",2014,9999,6
"620","Ford Fusion",2018,17999,2
"621","Ford Fusion",2014,7995,6
"622","Ford Fusion",2017,13988,3
"623","Ford Fusion",2019,18750,1
"624","Ford Fusion",2010,4995,10
"625","Ford Fusion",2014,6973,6
